NMR features / Integrals norm. to 1 proton (a.u.) -->,Spec1,Spec10,Spec2,Spec3,Spec4,Spec5,Spec6,Spec7,Spec8,Spec9
Alanine,299106.967870373,740157.941860142,436887.437155947,485907.316434488,470508.459093107,1126424.08650048,359298.855395534,538943.737205436,496531.749271762,463587.295278754
Lactic acid,1937104.41750807,3237197.37780437,2556700.03572439,1781853.85060498,1550786.29937344,3278349.02982766,2090331.39768076,2679445.75654603,1485815.38204723,1504971.39639551
Isoleucine,65511.6851692228,182530.73447415,83532.1211414088,66951.9977528115,82335.2952116326,223698.923579725,87422.9940944302,176866.075954894,95117.007197924,107928.047846809
Valine,212261.256514405,562121.46069624,282273.182696722,214076.3593319,263055.639899616,681066.951158506,240233.710067579,517406.839107725,334204.895727917,368865.57079371
3-Hydroxybutyric acid,306401.556325484,143167.058088125,59925.9424582703,59110.4290897122,59331.9279805778,113636.845946906,75582.7084616969,184139.916652303,41509.2887785337,66453.7335455304
Glycine,239341.839852392,645850.91533473,248194.287638099,354696.831690399,233568.778411015,459637.36007341,315692.048759968,490234.16028903,290868.370115837,336230.536246174
Creatine,19553.4185021922,46561.1760492842,32676.3961522359,50155.3576326183,38799.3274874515,192701.788203451,32368.8716100881,27728.245842387,45427.7537962418,14062.388652592
Creatinine (Smoothed),64518.2433031106,118395.825907613,57843.0507098628,28782.3582851757,49875.5612232573,176156.47771389,51107.4111482074,136999.045814878,84779.3218836731,59848.9504442112
Formic acid,27561.0494962153,26147.6062248019,22877.9232045135,27189.4893018153,30623.6854613722,34728.9185362346,13232.4841868122,32810.6103459628,24834.3563578512,28556.7883089268
Leucine,86049.4140726674,223868.045001195,125538.898888429,75236.0991728758,125417.789090331,334507.421116463,102353.918812214,235655.18284012,119178.700379188,155597.701628785
Citric acid,93037.6373484079,160449.972791971,86812.5858005574,64650.3229194749,57920.3295377022,194287.453778807,90296.3088698075,142289.111864763,67201.1723583617,101533.779209437
Acetic acid,46664.7822117094,367408.221107705,31330.7942195759,24438.7208716957,38119.1919858677,37053.909871478,71012.7786693118,242006.818771446,29231.8266200437,57370.7813017832
Dimethyl sulfone,6016.39791851717,9710.20614766457,8130.27073186878,10776.8452913493,10614.4113884794,16965.7200815973,5684.27756991266,9783.42631819896,11015.3555304778,15455.0496516116
Acetone,65149.4252079095,44979.9456186221,22772.9025037083,10866.9954409755,10801.5392449219,23893.8780792379,24389.2627605115,40550.2365991716,18596.5861088659,16244.6140391985
Ethanol,92688.9177369853,631789.037020753,76984.885425202,92389.4329423135,53482.8695129302,100428.106198789,255105.298853637,135825.811063906,61690.1956156475,88859.3132582162
Tyrosine (Smoothed),45951.3043884097,91624.4797756462,58657.5670508707,58686.9644906042,49510.87367521,116601.697725415,51679.9564804433,131455.187249811,69667.5583979767,61389.1628459308
Phenylalanine (Smoothed),50989.113472321,124222.793563329,74936.6080158496,61995.6425266086,52673.0720143177,145853.774979214,57870.4750513844,126836.252149873,59749.9107403144,61166.9892550529
Choline (Smoothed),6791.50849527277,9445.27896086879,9982.30969977065,12740.9095113006,7449.67965248705,24901.0347974373,47775.2611703938,8160.90669685215,11474.2142870602,10574.8735088393
Histidine (Smoothed),54214.3312895273,114084.621230994,35165.1033359565,52386.3906800872,76358.4120851689,106305.414118343,80153.3655606191,136889.320070502,78608.2876558213,82696.4838381264
Glutamine,473113.041322282,1413898.9512994,550972.748417846,542919.329473008,642460.920741502,1132845.97288463,337526.688116361,1404030.5384839,688358.842446839,822174.602728881
Lysine,85918.1338208424,172031.448140456,80823.3266416817,85958.034205262,148722.886445979,238351.551056346,103516.991907052,231406.587076576,153129.509579095,183983.421193283
Glucose,4193457.53699872,10031295.1251445,7343897.12913169,5737011.61426845,5431300.52468081,12498209.8650669,5291010.26654324,9326301.69151684,7132948.34120087,5867711.67986282
